graph_name,graph_source,num_nodes,num_edges,epsilon,top_k,top_k_ratio,exact_time,BP,RK,ABRA,SILVAN,GPU_SIR_BRIDGE
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,0.6333333333333333,0.7333333333333333,0.8666666666666667,0.9333333333333333,0.9333333333333333
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,0.6692307692307692,0.6076923076923076,0.7025641025641025,0.8205128205128205,0.658974358974359
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,0.6500994035785288,0.5546719681908548,0.7157057654075547,0.8091451292246521,0.7872763419483101
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,0.655,0.645,0.725,0.765,0.845
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,0.6260504201680672,0.5630252100840336,0.7394957983193278,0.8235294117647058,0.7184873949579832
bitcoin-alpha,real,3783,14124,0.2,379,0.1,85.46698427200317,0.6306068601583114,0.48548812664907653,0.6992084432717678,0.7862796833773087,0.8733509234828496
ca-GrQc,real,4158,13428,0.2,416,0.1,193.59918642044067,0.6634615384615384,0.625,0.6778846153846154,0.7548076923076923,0.7836538461538461
cora,real,2485,5069,0.2,249,0.1,46.030649185180664,0.6465863453815262,0.5903614457831325,0.751004016064257,0.8875502008032129,0.6024096385542169
p2p-Gnutella06,real,8717,31525,0.2,872,0.1,207.12059450149536,0.40022935779816515,0.3486238532110092,0.39908256880733944,0.4334862385321101,0.6720183486238532
wiki-Vote,real,7066,100736,0.2,707,0.1,1152.847342967987,0.5968882602545968,0.5134370579915134,0.6364922206506365,0.6661951909476662,0.9306930693069307
BA1000,synthetic,1000,4975,0.2,100,0.1,17.068702936172485,0.58,0.66,0.65,0.8,0.93
BA10000,synthetic,10000,49975,0.2,1000,0.1,3417.6272904872894,0.618,0.713,0.444,0.542,0.896
BA2000,synthetic,2000,9975,0.2,200,0.1,97.6166467666626,0.535,0.535,0.63,0.77,0.94
BA3000,synthetic,3000,14975,0.2,300,0.1,254.01218271255493,0.49666666666666665,0.6066666666666667,0.59,0.69,0.92
BA5000,synthetic,5000,24975,0.2,500,0.1,763.7383577823639,0.5,0.66,0.514,0.712,0.912
ER1000,synthetic,1000,5000,0.2,100,0.1,16.362600088119507,0.25,0.21,0.3,0.28,0.87
ER2000,synthetic,1999,10000,0.2,200,0.1,83.15254998207092,0.245,0.25,0.335,0.28,0.86
ER3000,synthetic,2999,15000,0.2,300,0.1,258.42664313316345,0.28,0.2,0.24333333333333335,0.24333333333333335,0.8466666666666667
ER5000,synthetic,5000,25000,0.2,500,0.1,737.0748660564423,0.218,0.236,0.19,0.234,0.83
WS1000,synthetic,1000,5000,0.2,100,0.1,26.99643588066101,0.49,0.42,0.57,0.57,0.81
WS2000,synthetic,2000,10000,0.2,200,0.1,100.51280331611633,0.46,0.36,0.465,0.49,0.82
WS3000,synthetic,3000,15000,0.2,300,0.1,266.2185254096985,0.44333333333333336,0.38333333333333336,0.41333333333333333,0.45,0.86
WS5000,synthetic,5000,25000,0.2,500,0.1,839.2279541492462,0.4,0.346,0.39,0.402,0.816
