graph_name,graph_source,num_nodes,num_edges,epsilon,top_k,top_k_ratio,exact_time,BP,RK,ABRA,SILVAN,GPU_SIR_BRIDGE
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,0.9646111747092174,0.9456417549736373,0.9927787954210759,0.9979229610376384,0.9918339296741089
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,0.9065773792779191,0.8045752274760136,0.9187377935636718,0.9740434276253512,0.8754514615775901
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,0.9824359603552276,0.9645788315603427,0.9906664320735176,0.9967411389278117,0.7022998271247035
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,0.8779542808572082,0.8419898509596776,0.9235920878633964,0.965008781463418,0.9686787388304215
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,0.8953315357986971,0.8420267378888099,0.9578258105172949,0.976414089722889,0.9055633713295983
bitcoin-alpha,real,3783,14124,0.2,379,0.1,85.46698427200317,0.9592464385425067,0.9323526365481047,0.9755688832488772,0.98518238717329,0.9885591944948638
ca-GrQc,real,4158,13428,0.2,416,0.1,193.59918642044067,0.8699958014004643,0.7846203078752871,0.8606254088909085,0.9304291194214994,0.9090097044539492
cora,real,2485,5069,0.2,249,0.1,46.030649185180664,0.9541875114363404,0.9264452089483716,0.98240758798148,0.9933361227864165,0.9297027851891106
p2p-Gnutella06,real,8717,31525,0.2,872,0.1,207.12059450149536,0.6110130248593918,0.5539944338167563,0.5117235580118037,0.5798309303781278,0.9395985793916174
wiki-Vote,real,7066,100736,0.2,707,0.1,1152.847342967987,0.8574137436312746,0.7348306446320765,0.8384140103732781,0.9105054959540024,0.9269114822720553
BA1000,synthetic,1000,4975,0.2,100,0.1,17.068702936172485,0.8819090241164191,0.8357085886302268,0.956519614852783,0.9762750341983688,0.9977198655092541
BA10000,synthetic,10000,49975,0.2,1000,0.1,3417.6272904872894,0.9298339229002982,0.831736430475649,0.8851539764686264,0.9580714502758066,0.998924161923858
BA2000,synthetic,2000,9975,0.2,200,0.1,97.6166467666626,0.8976041750985732,0.8883319790703217,0.9411123255597399,0.9803510499082958,0.9986041545764992
BA3000,synthetic,3000,14975,0.2,300,0.1,254.01218271255493,0.8777241893977599,0.8534901126594348,0.9280430269714868,0.9644533816579134,0.9985825181028951
BA5000,synthetic,5000,24975,0.2,500,0.1,763.7383577823639,0.8912222230228978,0.8538809233638588,0.9322492941297821,0.9648381723890542,0.9985795334783125
ER1000,synthetic,1000,5000,0.2,100,0.1,16.362600088119507,0.32062232398898083,0.3447506753321903,0.44232064504363205,0.4371614913314656,0.9763071269353537
ER2000,synthetic,1999,10000,0.2,200,0.1,83.15254998207092,0.30383466063984743,0.2866147252622877,0.39786086783331914,0.3495782051938486,0.9730140706368534
ER3000,synthetic,2999,15000,0.2,300,0.1,258.42664313316345,0.3174174635938198,0.23821314763128384,0.3010690323841088,0.30995030488346953,0.9671464858687644
ER5000,synthetic,5000,25000,0.2,500,0.1,737.0748660564423,0.25750749425874914,0.20514127810614774,0.22991307803340977,0.2668931794928042,0.9596850179627513
WS1000,synthetic,1000,5000,0.2,100,0.1,26.99643588066101,0.6784386764647337,0.6312638483746396,0.7616776333445218,0.8411363366355465,0.9572504006438013
WS2000,synthetic,2000,10000,0.2,200,0.1,100.51280331611633,0.6394523142740317,0.5691010154554595,0.6671505372865175,0.727973236362697,0.9445282270818015
WS3000,synthetic,3000,15000,0.2,300,0.1,266.2185254096985,0.58430253080106,0.5164530981997759,0.5902861446116409,0.6470092815340209,0.9519670452759442
WS5000,synthetic,5000,25000,0.2,500,0.1,839.2279541492462,0.5339103542763772,0.42687199607730136,0.49927781519890096,0.5604100158559927,0.9449923188524368
