graph_name,graph_source,num_nodes,num_edges,epsilon,top_k,top_k_ratio,exact_time,method_x,method_y,spearman
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,EXACT,EXACT,1.0
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,EXACT,BP,0.5045905969472294
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,EXACT,RK,0.5987189458992002
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,EXACT,ABRA,0.9017249362115792
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,EXACT,SILVAN,0.9269869692729062
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,EXACT,GPU_SIR_BRIDGE,0.8974636681053526
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,BP,EXACT,0.5045905969472293
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,BP,BP,1.0
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,BP,RK,0.3267771570637215
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,BP,ABRA,0.4763239502396942
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,BP,SILVAN,0.48458672751428195
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,BP,GPU_SIR_BRIDGE,0.43621166753910434
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,RK,EXACT,0.5987189458992002
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,RK,BP,0.3267771570637215
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,RK,RK,1.0
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,RK,ABRA,0.5272724155709557
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,RK,SILVAN,0.5590704658189417
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,RK,GPU_SIR_BRIDGE,0.5611785526362552
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,ABRA,EXACT,0.9017249362115792
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,ABRA,BP,0.4763239502396942
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,ABRA,RK,0.5272724155709557
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,ABRA,ABRA,1.0
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,ABRA,SILVAN,0.8350237177241179
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,ABRA,GPU_SIR_BRIDGE,0.8180971049982735
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,SILVAN,EXACT,0.9269869692729061
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,SILVAN,BP,0.4845867275142819
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,SILVAN,RK,0.5590704658189418
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,SILVAN,ABRA,0.835023717724118
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,SILVAN,SILVAN,1.0
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,SILVAN,GPU_SIR_BRIDGE,0.831638906785923
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,GPU_SIR_BRIDGE,EXACT,0.8974636681053526
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,GPU_SIR_BRIDGE,BP,0.43621166753910434
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,GPU_SIR_BRIDGE,RK,0.5611785526362552
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,GPU_SIR_BRIDGE,ABRA,0.8180971049982735
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,GPU_SIR_BRIDGE,SILVAN,0.831638906785923
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,GPU_SIR_BRIDGE,GPU_SIR_BRIDGE,1.0
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,EXACT,EXACT,1.0
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,EXACT,BP,0.6075211707284345
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,EXACT,RK,0.5046924384990187
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,EXACT,ABRA,0.6782681912193611
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,EXACT,SILVAN,0.7812242462269502
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,EXACT,GPU_SIR_BRIDGE,0.7803362433581147
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,BP,EXACT,0.6075211707284346
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,BP,BP,1.0
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,BP,RK,0.48617736379427595
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,BP,ABRA,0.556034112216
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,BP,SILVAN,0.6276322989351903
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,BP,GPU_SIR_BRIDGE,0.4790268059842991
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,RK,EXACT,0.5046924384990187
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,RK,BP,0.4861773637942759
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,RK,RK,1.0
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,RK,ABRA,0.4651096705553658
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,RK,SILVAN,0.5282031426844037
