graph_name,graph_source,num_nodes,num_edges,epsilon,top_k,top_k_ratio,exact_time,BP,RK,ABRA,SILVAN,GPU_SIR_BRIDGE
Celegans,real,297,2148,0.1,30,0.1,0.18683815002441406,0.7,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.9333333333333333
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,0.7538461538461538,0.7538461538461538,0.7948717948717948,0.8948717948717949,0.658974358974359
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,0.6819085487077535,0.7137176938369781,0.7455268389662028,0.8926441351888668,0.7872763419483101
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,0.715,0.76,0.855,0.895,0.845
Yeast,real,2375,11693,0.1,238,0.1,12.704852819442749,0.7058823529411765,0.773109243697479,0.8445378151260504,0.8949579831932774,0.7184873949579832
bitcoin-alpha,real,3783,14124,0.1,379,0.1,33.27059459686279,0.683377308707124,0.7308707124010554,0.8364116094986808,0.8680738786279684,0.8733509234828496
ca-GrQc,real,4158,13428,0.1,416,0.1,37.053438901901245,0.7427884615384616,0.8149038461538461,0.8076923076923077,0.8677884615384616,0.7836538461538461
cora,real,2485,5069,0.1,249,0.1,11.119002103805542,0.7228915662650602,0.7550200803212851,0.8674698795180723,0.9357429718875502,0.6024096385542169
p2p-Gnutella06,real,8717,31525,0.1,872,0.1,207.0140872001648,0.4805045871559633,0.4827981651376147,0.4506880733944954,0.5527522935779816,0.6720183486238532
wiki-Vote,real,7066,100736,0.1,707,0.1,210.69299721717834,0.6789250353606789,0.6775106082036775,0.727015558698727,0.7864214992927864,0.9306930693069307
BA1000,synthetic,1000,4975,0.1,100,0.1,1.9442317485809326,0.68,0.74,0.82,0.91,0.93
BA10000,synthetic,10000,49975,0.1,1000,0.1,280.25996947288513,0.503,0.512,0.578,0.701,0.896
BA2000,synthetic,2000,9975,0.1,200,0.1,8.48478627204895,0.59,0.665,0.775,0.86,0.94
BA3000,synthetic,3000,14975,0.1,300,0.1,21.26638102531433,0.5633333333333334,0.7166666666666667,0.6833333333333333,0.8033333333333333,0.92
BA5000,synthetic,5000,24975,0.1,500,0.1,64.8532485961914,0.514,0.638,0.626,0.772,0.912
ER1000,synthetic,1000,5000,0.1,100,0.1,2.047384738922119,0.31,0.39,0.39,0.48,0.87
ER2000,synthetic,1999,10000,0.1,200,0.1,8.666836977005005,0.33,0.37,0.33,0.395,0.86
ER3000,synthetic,2999,15000,0.1,300,0.1,21.35254144668579,0.31333333333333335,0.29,0.33,0.33666666666666667,0.8466666666666667
ER5000,synthetic,5000,25000,0.1,500,0.1,63.682961225509644,0.278,0.304,0.246,0.29,0.83
WS1000,synthetic,1000,5000,0.1,100,0.1,1.9176967144012451,0.53,0.64,0.68,0.75,0.81
WS2000,synthetic,2000,10000,0.1,200,0.1,8.107047080993652,0.51,0.57,0.585,0.68,0.82
WS3000,synthetic,3000,15000,0.1,300,0.1,19.933377981185913,0.5366666666666666,0.5866666666666667,0.53,0.6066666666666667,0.86
WS5000,synthetic,5000,25000,0.1,500,0.1,59.15419960021973,0.512,0.534,0.474,0.532,0.816
