graph_name,graph_source,num_nodes,num_edges,epsilon,top_k,top_k_ratio,exact_time,BP,RK,ABRA,SILVAN,GPU_SIR_BRIDGE
Celegans,real,297,2148,0.1,30,0.1,0.18683815002441406,0.9737231187516752,0.990917137050098,0.9967950236107942,0.9991435421876124,0.9918339287529299
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,0.9490652558396533,0.9588971329035728,0.9702641038095328,0.9915984824573466,0.8754514614814631
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,0.9912278062497342,0.9876770185697451,0.9954628147275065,0.9992721376301241,0.7022998298051251
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,0.933755454662477,0.9521272686978621,0.9644303554380699,0.9882215330696805,0.9686787387694531
Yeast,real,2375,11693,0.1,238,0.1,12.704852819442749,0.9395406936951053,0.957355283130967,0.9832496842082669,0.9934938115822556,0.9055633691756555
bitcoin-alpha,real,3783,14124,0.1,379,0.1,33.27059459686279,0.9758377143804895,0.9829794930798509,0.9929399716271405,0.9964461479750594,0.988559193660552
ca-GrQc,real,4158,13428,0.1,416,0.1,37.053438901901245,0.9383886636700083,0.9305157038914494,0.9531629621069796,0.9781879694463572,0.9090097055315532
cora,real,2485,5069,0.1,249,0.1,11.119002103805542,0.9761299315517984,0.9824426068156977,0.9926723920365002,0.9983051338771006,0.9297027871797952
p2p-Gnutella06,real,8717,31525,0.1,872,0.1,207.0140872001648,0.7333318613169111,0.714312860629226,0.7575052496486029,0.8293153465880799,0.9395985798678338
wiki-Vote,real,7066,100736,0.1,707,0.1,210.69299721717834,0.9249369630887349,0.9268681925798041,0.9413806955055223,0.9754812960505957,0.9269114812255037
BA1000,synthetic,1000,4975,0.1,100,0.1,1.9442317485809326,0.9303658346949825,0.9632779915749728,0.9771022320869908,0.9898814819607621,0.9977198655457747
BA10000,synthetic,10000,49975,0.1,1000,0.1,280.25996947288513,0.9621966226584159,0.9424158464992463,0.9682066040404178,0.9821983175654544,0.9989241623019822
BA2000,synthetic,2000,9975,0.1,200,0.1,8.48478627204895,0.9561539467110162,0.9736082827170117,0.9857004473173694,0.9928932918505314,0.9986041547234943
BA3000,synthetic,3000,14975,0.1,300,0.1,21.26638102531433,0.9423406945565043,0.954955142777748,0.9775731012853902,0.9883805077615317,0.9985825183420176
BA5000,synthetic,5000,24975,0.1,500,0.1,64.8532485961914,0.9487854864706373,0.9481294413124464,0.9711982857750128,0.9878488441266641,0.9985795331871016
ER1000,synthetic,1000,5000,0.1,100,0.1,2.047384738922119,0.44187829522445465,0.5958498245367061,0.6264491876927746,0.6460275785875227,0.9763071262085126
ER2000,synthetic,1999,10000,0.1,200,0.1,8.666836977005005,0.42309229321482317,0.5140199369062542,0.5035803167713186,0.5528969916288858,0.9730140716639443
ER3000,synthetic,2999,15000,0.1,300,0.1,21.35254144668579,0.4117514460379935,0.433475429396604,0.44466902736844854,0.457942982878319,0.9671464860424178
ER5000,synthetic,5000,25000,0.1,500,0.1,63.682961225509644,0.3588108947353658,0.40795564807770085,0.3765413561270549,0.3654982687716323,0.9596850187092877
WS1000,synthetic,1000,5000,0.1,100,0.1,1.9176967144012451,0.7493574046168465,0.8652978435843891,0.8961841720837546,0.9457463716472335,0.9572504019721995
WS2000,synthetic,2000,10000,0.1,200,0.1,8.107047080993652,0.7578860240039886,0.8148816135219172,0.8216191977424657,0.8896052669604824,0.9445282271876483
WS3000,synthetic,3000,15000,0.1,300,0.1,19.933377981185913,0.7029637599452762,0.7730619757546945,0.7578602641306762,0.8035842827340816,0.9519670461521962
WS5000,synthetic,5000,25000,0.1,500,0.1,59.15419960021973,0.6681297424373064,0.6759504689672032,0.6852757957900993,0.7316937733363338,0.9449923190042357
